venue_id,name,google_place_id,google_price_level,mapped_tier
v0602,The Mandarin,ChIJwx32VexbwokRFDmC8xoRMvU,,
v0605,The Noodle Inn,ChIJgfsgLQAFdkgRZ5eIYfngCJw,,
v0609,The Rhymers' Club,ChIJ6fCoMABZwokRbyfPfNs_sT0,,
v0613,The Vintage Twin,ChIJ7enJLJtZwokRMgpX81KtClI,,
v0614,THE WELL New York,ChIJFQiEdQFZwokRNQ0D2cNpj04,,
v0617,Three Sheets Soho,ChIJxZHPBAAFdkgR-HXCu1vnNQM,,
v0628,Ugly Delicious Toronto,ChIJNz8b4Yc1K4gR-l3mXetKjRs,,
v0643,White Trash,ChIJ_dIPrJxZwokR4txPu7Nkpm4,,
v0647,Wu Wei Coffee,ChIJC-6YSAA1K4gRGDF2hvinVak,,
v0652,Yu & Me Books,ChIJW7aK_uNbwokR7OmleQaigQs,,
v0654,Zen Kyoto,ChIJu_T8M6_L1IkR8ysmnA8EUrc,,
v0660,Statue of Liberty,ChIJPTacEpBQwokRKwIlDXelxkA,,
v0975,Verse,ChIJD-V4AgBfwokRA9fa8LYFabI,,
v1256,GG's Social Trade & Treasure Club,ChIJQVZrRwVcwokRF5_8h3iicnQ,,
v1076,As you like,ChIJCbecnoVZwokRiMxQmAt9pxk,,
v1077,Carousel,ChIJS3GApRNdwokRQ5wdnB5qpDA,,
v1166,KIJITORA East,ChIJ75IC0XlZwokRV9rAhAJ3c8w,,
v1168,Liz's Book Bar,ChIJgQkzTvlbwokRCq9vl-v_NgI,,
v1176,Place des Fêtes,ChIJtx7ymGVbwokRzDZBJ8NVJz0,,
v1178,Quimby's Bookstore NYC,ChIJh92VBllZwokR02frzAmb3MA,,
v1180,Rhodora Wine Bar,ChIJCcgN9ZhbwokRhp2o_PJr4l0,,
v1184,Spoonbill & Sugartown Books,ChIJx8E1BF5ZwokRtRU5AGl19I0,,
v1187,The Center for Fiction,ChIJgf_deP5YwokR9lClGH8WEZQ,,
v1191,Again Vintage (home to SUBLIME Coffee & Plant Potions),ChIJXcVNo4VbwokRKMN5_z67i9Y,,
v1215,Brooklyn Vintage Company,ChIJw6jm6LxdwokR37Bt276VnYk,,
v1225,Ciao Ciao Disco,ChIJaRB4RaxZwokR4TQsOIWnEpg,,
v1233,Dayglow,ChIJp--TA6NdwokRrktWTTL2alw,,
v1240,Driggs Mercantile,ChIJ8YcWLFxZwokRwJVwGyl3Op4,,
v1244,Ebreo Vintage,ChIJJ_S9zzpZwokRUlYIUAqt0MQ,,
v1248,Enso Cafe,ChIJsyghTABbwokResNmLxwGAF8,,
v1255,Gertie,ChIJ1aKpNABbwokRIFh0cLCWP4w,,
v1266,Human Relations,ChIJPTJU2QNcwokRpSQf6TIRsz4,,
v1271,Kinhfolk,ChIJaTzsXABZwokRiYy4ILESKEw,,
v1277,La Bicyclette Bakery,ChIJ0QDyxnZZwokRQZteO0vPUXU,,
v1282,leaves,ChIJOz31d-JZwokROLP-0MsGh-Y,,
v1290,"Louis Valentino, Jr. Park and Pier",ChIJq3mMh4hawokR1Rl_U7p-K5c,,
v1298,Miski Cafe,ChIJU7_AxMRbwokRVw4_FwieFkQ,,
v1307,Pally,ChIJR45CcxNZwokR5Ju4mTlmlsQ,,
v1311,Prospect Butcher Co.,ChIJ23ll2DFbwokRK6Xb1n21pew,,
v1315,"RHYTHM ZERO, WILLIAMSBURG",ChIJxSNlflVZwokRKeKASsTJB-I,,
v1320,Saint Michel Cafe,ChIJe1ZX6whkwokRA4dh1WfGjw4,,
v1322,Saturn Road,ChIJN_uyy55bwokRzVyFQ6MUTZs,,
v1324,Selune Annex,ChIJP0b_VmpdwokR4nwDWhoc_WI,,
v1333,Studio Dem,ChIJia4fxAxfwokRk575FSzVz4U,,
v1339,Taqueria El Chato,ChIJpx9oNwBZwokRadMPBkSKnvY,,
v1348,Theodora,ChIJJye7jZBbwokRtioAck7uEIg,,
v1351,Til Death,ChIJLcTP_INdwokR4HPrvwP7byU,,
v1360,Velma Vintage,ChIJ7R4ntl9ZwokR1_pjZR7sonk,,
v1089,Twins Lounge,ChIJofE6JSBZwokRkOG-yB0pXns,,
v1090,usagi,ChIJn1K9TDJawokReSrf6lk1Xck,,
v1095,Cherry on Top,ChIJx6xAS4FdwokR0Lxbx7PlBEY,,
v1098,Elsewhere,ChIJrVAECUhfwokRsoEFM0dN67Q,,
v1099,House of Yes,ChIJ72D9N6tewokRyQSjsElG8x8,,
v1100,KIJITORA mini,ChIJ02sY7ydZwokRQNtTpmBywcc,,
v1101,Larry's Ca Phe,ChIJ1Qs_G2VZwokRrSq5NogbaG4,,
v1106,"RHYTHM ZERO, GREENPOINT",ChIJ_R0w0SRZwokRCUZlNLG9B-A,,
v1109,Vaux Vintage,ChIJS3EbFndZwokRInpccxCtTWY,,
v1111,With Others,ChIJPygkVEZZwokRKQzWA9zRYcA,,
v1112,10 ft Single by Stella Dallas,ChIJPWUjLVlZwokRYTvLEtNHztg,,
v1113,Artists & Fleas Market Williamsburg,ChIJY8xvoGdZwokRSf9g5zR8XKE,,
v1115,Awoke Vintage Brooklyn,ChIJ4aLhA15ZwokRkBFVFvMKmJY,,
v1117,Cafe Balearica,ChIJn9pEpsRZwokR0kE0SBuf1Vw,,
v1118,Frog,ChIJz89WhqRbwokRFdTyd50jkIg,,
v1119,Kettl Tea - Greenpoint,ChIJHVqM3eFZwokR8EULdHItPac,,
v1122,Loaf on Paper by niconeco zakkaya,ChIJl8WyQwBZwokRUCv20dsNXPg,,
v1123,Malin Landaeus,ChIJ91iO4F1ZwokRLZQwywUK0Tg,,
v1124,Maru Coffee,ChIJzSENMABZwokRTHg4SiagKLM,,
v1125,Molasses Books,ChIJPwMNNBtcwokRpqb-cnbs76s,,
v1127,Qahwah House Coffee,ChIJncEfclNZwokRbp1V57MpWxg,,
v1128,Radio Star,ChIJMVIviv5ZwokRZOz215uVhGo,,
v1129,Seven Wonders Collective (Williamsburg),ChIJqc6KlaJZwokReHbV99dK6c0,,
v1130,SORBARA’S,ChIJe71ykH5ZwokRXdqmQfin63s,,
v1134,Urban Jungle,ChIJMQcg0ANcwokRoM3AJoyxFsc,,
v1136,Anaïs,ChIJR9uKg5tbwokR-45Jeyx40ms,,
v1137,Ask For Janice,ChIJATHmaWVZwokRDCLWBIoq8ZU,,
v1138,Bar Blondeau,ChIJvz7ih4RZwokR2T3AC5NtWrY,,
v1141,Bedford Vintage,ChIJ4XP30wpZwokR3oLSZp7jKws,,
v1142,Black Spring Books,ChIJQ2dpiKZZwokRbvt2sv6vQZk,,
v1146,Dead Letter No. 9,ChIJX-L8A7NZwokRobldVSSNdJk,,
v1147,Desert Island,ChIJXbCxB1lZwokRTQDMk0spJPs,,
v1148,Dobbin St Vintage Co-op,ChIJCQx8zBtZwokRn-bRD3IjjqI,,
v1149,DOLORES,ChIJwYDDibRbwokR7p0WTQvV1Y8,,
v1151,Esse Taco,ChIJNcghJthZwokRbXz53Nk9gU4,,
v1152,Foster Sundry,ChIJsbUGbANcwokRnLsm5yKFtAg,,
v1155,Front General Store,ChIJO89klTNawokRtfxhZ4wVLSI,,
v1157,Grand Street Local,ChIJAQCUUWBZwokR_AfT8aSG3ek,,
v1159,Hide & Seek,ChIJ5x9XaIpZwokRl3nSTwXki6A,,
v1169,McNally Jackson Books Williamsburg,ChIJ7_CZzWBZwokRtnN6AuNPxGY,,
v1172,Montague Diner,ChIJc5j1BABbwokRA4csWdGzsU0,,
v1173,"Mya Coffee, Bakery and Wine Bar",ChIJDWxDjBRZwokRVX9GWagJ2-o,,
v1179,Radio Bakery,ChIJidmaBvdZwokRpeaRMeb_rX4,,
v1181,Saint Street Cakes,ChIJL8hU4KVbwokRi_tIJpA82oc,,
v1183,Sixteen Mill Bakeshop,ChIJJ2TPLnJbwokR0AeNp3yZN44,,
v1185,Stella Dallas Living,ChIJk4UK015ZwokRrsbQPfxWtIg,,
v1192,Alita Cafe,ChIJLxpyb6lZwokRcvSJwGIZg_Q,,
v1195,Archestratus Books + Foods,ChIJDYmQFT9ZwokR1bSFKsItm5o,,
v1197,Baby Blues Luncheonette,ChIJmz3KmbZbwokRRlxIMTmD00Q,,
v1198,BAR GOTO NIBAN,ChIJ4632-d9bwokRo_GqYoKmf8k,,
v1301,Monger's Palate,ChIJxdoUDE9ZwokR76dx0fzUOY0,,
v1202,Berry Home,ChIJsRM-PQtZwokRLrWghcbbzy4,,
v1203,Big Night,ChIJ6wTxnYBZwokRqHca8QUyWKk,,
v1208,Books Are Magic,ChIJOUoR41BawokR5s3MlYwVqyU,,
v1209,Books Are Magic,ChIJj4YVA0lbwokRthEyLlkGFG8,,
v1210,Botani Cafe,ChIJuTDdo_lbwokR_lHF8bVHU8A,,
v1221,Cafe Susanne,ChIJk5dLNQBbwokRXdDx07XsiKo,,
v1228,Close Friends,ChIJsWtyrHhZwokRA7Fxiva1u6k,,
v1230,Community Bookstore,ChIJ-W1PKAdbwokRhDG1VgLSckw,,
v1234,dear friend books,ChIJi2fRyMxbwokR6G8Op8EfbpY,,
v1235,Devoción,ChIJ99H-1bJbwokRU52Z-5Y-BDI,,
v1237,Dilly Dally,ChIJ9UbfyO1bwokRh11devTUnT4,,
v1239,Dobbin St. Vintage Co-op Corner Shop,ChIJCQx8zBtZwokRn-bRD3IjjqI,,
v1241,DUMBO Manhattan Bridge View,ChIJd9SPZTFawokRh9NpOTE-G5k,,
v1249,Entre Nous,ChIJYY61-rJbwokRMydDW_1Vs4A,,
v1250,Everybody Eats,ChIJl8AkhVVawokRZv4EvtEkWTs,,
v1252,Flower Cat,ChIJJT2fwKdZwokRA8epvwuvdL8,,
v1254,Frita Batidos Brooklyn,ChIJjzBW0rJZwokRKhq0ELlC_fM,,
v1259,Greenlight Bookstore (Fulton Street),ChIJjTxYtrFbwokRLcr7cM149Uo,,
v1265,HEADREST COFFEE,ChIJR9JkA_hdwokR5Y1kAgGHrlI,,
v1269,ippudo V Brookyln,ChIJK6ptFFVbwokR601x2txnoB0,,
v1272,Koi Omakase,ChIJSWqCsoJbwokR4sr-BlYWi08,,
v1274,L Train Vintage,ChIJRwLEXwFcwokRJvPeNr8kOtk,,
v1275,L Train Vintage,ChIJRwLEXwFcwokRJvPeNr8kOtk,,
v1281,Laser Wolf Brooklyn,ChIJLyS5dYRZwokRlkA0g9eijjs,,
v1285,LINC ORIGINAL MAKERS NEW YORK,ChIJF6QPUSpZwokR3ybimUuIJTw,,
v1287,Little Fino,ChIJbXxKVwBZwokR6KKerL3z96k,,
v1295,Maimoun,ChIJ30ixq3hZwokRXuTexWBzo-8,,
v1296,McNally Jackson Books Downtown Brooklyn,ChIJDSUF2NVbwokRgTKVYvaYPdo,,
v1297,MEILI Rooftop,ChIJ7_3mQABZwokRKrRL8Uy1Fic,,
v1300,Mociun Fine Jewelry & Home,ChIJnZMW2F9ZwokRGOicHTtZELc,,
v1302,Nako,ChIJg_UbL7dbwokR6om4KqNiFhM,,
v1305,Nomia,ChIJIeg7m1xZwokRrvzwhxzbZ6U,,
v1310,Plus de Vin,ChIJXS7DnARZwokR7U74X6NnHpQ,,
v1313,Raggedy Threads,ChIJk4lMAlhZwokRvJ-03VEYZcE,,
v1317,Rodeo,ChIJFbHCbs1bwokRPp3F9TTvVo8,,
v1318,Rugged Road & Co.,ChIJr_R1BF5ZwokRiGkMZn-iF2c,,
v1319,Saint Eves Cocktail Bar,ChIJmV1QVqhbwokR_ApUAo05bEE,,
v1323,Sawa,ChIJD87O1YJbwokR6lRmQ6nsIfU,,
v1325,Selva,ChIJMXG2IKFdwokRSNnbd7FNMHE,,
v1326,senti senti,ChIJR45uj3hZwokR6C6PVhoSBkY,,
v1327,Seven Wonders Collective (Greenpoint),ChIJqc6KlaJZwokReHbV99dK6c0,,
v1336,TALEA Beer Co - Williamsburg,ChIJ5TvP21FZwokRLFjbliEhRUc,,
v1337,TANGERINE,ChIJXWoA3vBZwokRKV5Ux-5oeek,,
v1343,The Ripped Bodice,ChIJPyEC6zdbwokRjJLnHctI-AM,,
v1344,The Sultan Room,ChIJA8spEXRdwokRCEKqSASypjU,,
v1347,The Word Is Change,ChIJt-jNd4ZbwokREiFzH3LFrec,,
v1349,three legged cat,ChIJWSJ1fbxZwokRohpU1WNpNpA,,
v1350,Tico's Cafetería,ChIJLyflQlVdwokRLJ2XuRRQTnA,,
v1352,Tired Thrift,ChIJh67AWMKLwokRBRA24bFDFRA,,
v1358,Unearth Vintage,ChIJAQgOgGBZwokRLlmBNDx7dAk,,
v1359,Unnameable Books,ChIJxWzqeqZbwokRRfuaT-IC6RQ,,
v1361,Venus in Tokyo,ChIJ_SHBvC1ZwokRCh8vozhbA0U,,
v1366,WORD,ChIJh1cMrUFZwokRWS1nhRXR2V8,,
